"X1" "X2"
"CellSRR1294973" "CellSRR1294973" "2"
"CellSRR1294974" "CellSRR1294974" "1"
"CellSRR1294975" "CellSRR1294975" "Normal"
"CellSRR1294976" "CellSRR1294976" "2"
"CellSRR1294977" "CellSRR1294977" "1"
"CellSRR1294978" "CellSRR1294978" "1"
"CellSRR1294979" "CellSRR1294979" "Normal"
"CellSRR1294981" "CellSRR1294981" "2"
"CellSRR1294982" "CellSRR1294982" "1"
"CellSRR1294984" "CellSRR1294984" "1"
"CellSRR1294987" "CellSRR1294987" "2"
"CellSRR1294988" "CellSRR1294988" "Normal"
"CellSRR1294989" "CellSRR1294989" "3"
"CellSRR1294990" "CellSRR1294990" "Normal"
"CellSRR1294992" "CellSRR1294992" "2"
"CellSRR1294993" "CellSRR1294993" "2"
"CellSRR1294997" "CellSRR1294997" "3"
"CellSRR1294998" "CellSRR1294998" "3"
"CellSRR1294999" "CellSRR1294999" "3"
"CellSRR1295000" "CellSRR1295000" "2"
"CellSRR1295001" "CellSRR1295001" "3"
"CellSRR1295002" "CellSRR1295002" "3"
"CellSRR1295004" "CellSRR1295004" "1"
"CellSRR1295005" "CellSRR1295005" "1"
"CellSRR1295009" "CellSRR1295009" "1"
"CellSRR1295012" "CellSRR1295012" "1"
"CellSRR1295014" "CellSRR1295014" "1"
"CellSRR1295016" "CellSRR1295016" "2"
"CellSRR1295018" "CellSRR1295018" "2"
"CellSRR1295019" "CellSRR1295019" "2"
"CellSRR1295020" "CellSRR1295020" "1"
"CellSRR1295021" "CellSRR1295021" "3"
"CellSRR1295022" "CellSRR1295022" "3"
"CellSRR1295023" "CellSRR1295023" "Normal"
"CellSRR1295024" "CellSRR1295024" "2"
"CellSRR1295028" "CellSRR1295028" "Normal"
"CellSRR1295031" "CellSRR1295031" "1"
"CellSRR1295033" "CellSRR1295033" "2"
"CellSRR1295034" "CellSRR1295034" "2"
"CellSRR1295035" "CellSRR1295035" "3"
"CellSRR1295038" "CellSRR1295038" "2"
"CellSRR1295039" "CellSRR1295039" "2"
"CellSRR1295040" "CellSRR1295040" "2"
"CellSRR1295041" "CellSRR1295041" "Normal"
"CellSRR1295042" "CellSRR1295042" "1"
"CellSRR1295044" "CellSRR1295044" "2"
"CellSRR1295045" "CellSRR1295045" "2"
"CellSRR1295048" "CellSRR1295048" "1"
"CellSRR1295050" "CellSRR1295050" "2"
"CellSRR1295052" "CellSRR1295052" "2"
"CellSRR1295055" "CellSRR1295055" "2"
"CellSRR1295056" "CellSRR1295056" "3"
"CellSRR1295057" "CellSRR1295057" "3"
"CellSRR1295059" "CellSRR1295059" "2"
"CellSRR1295060" "CellSRR1295060" "2"
"CellSRR1295061" "CellSRR1295061" "2"
"CellSRR1295062" "CellSRR1295062" "Normal"
"CellSRR1295063" "CellSRR1295063" "1"
"CellSRR1295064" "CellSRR1295064" "3"
"CellSRR1295065" "CellSRR1295065" "1"
"CellSRR1295066" "CellSRR1295066" "2"
"CellSRR1295067" "CellSRR1295067" "1"
