"X1" "X2"
"CellSRR1294973" "CellSRR1294973" "3"
"CellSRR1294974" "CellSRR1294974" "3"
"CellSRR1294975" "CellSRR1294975" "Normal"
"CellSRR1294976" "CellSRR1294976" "1"
"CellSRR1294977" "CellSRR1294977" "1"
"CellSRR1294978" "CellSRR1294978" "3"
"CellSRR1294979" "CellSRR1294979" "Normal"
"CellSRR1294981" "CellSRR1294981" "1"
"CellSRR1294982" "CellSRR1294982" "1"
"CellSRR1294985" "CellSRR1294985" "1"
"CellSRR1294987" "CellSRR1294987" "1"
"CellSRR1294988" "CellSRR1294988" "Normal"
"CellSRR1294989" "CellSRR1294989" "3"
"CellSRR1294990" "CellSRR1294990" "Normal"
"CellSRR1294991" "CellSRR1294991" "1"
"CellSRR1294992" "CellSRR1294992" "2"
"CellSRR1294993" "CellSRR1294993" "2"
"CellSRR1294998" "CellSRR1294998" "3"
"CellSRR1294999" "CellSRR1294999" "3"
"CellSRR1295000" "CellSRR1295000" "2"
"CellSRR1295001" "CellSRR1295001" "3"
"CellSRR1295002" "CellSRR1295002" "3"
"CellSRR1295004" "CellSRR1295004" "3"
"CellSRR1295005" "CellSRR1295005" "3"
"CellSRR1295006" "CellSRR1295006" "1"
"CellSRR1295009" "CellSRR1295009" "3"
"CellSRR1295012" "CellSRR1295012" "3"
"CellSRR1295014" "CellSRR1295014" "1"
"CellSRR1295017" "CellSRR1295017" "3"
"CellSRR1295020" "CellSRR1295020" "2"
"CellSRR1295021" "CellSRR1295021" "1"
"CellSRR1295023" "CellSRR1295023" "Normal"
"CellSRR1295027" "CellSRR1295027" "2"
"CellSRR1295028" "CellSRR1295028" "Normal"
"CellSRR1295031" "CellSRR1295031" "1"
"CellSRR1295033" "CellSRR1295033" "1"
"CellSRR1295034" "CellSRR1295034" "1"
"CellSRR1295035" "CellSRR1295035" "1"
"CellSRR1295037" "CellSRR1295037" "1"
"CellSRR1295038" "CellSRR1295038" "2"
"CellSRR1295039" "CellSRR1295039" "2"
"CellSRR1295041" "CellSRR1295041" "Normal"
"CellSRR1295042" "CellSRR1295042" "1"
"CellSRR1295043" "CellSRR1295043" "3"
"CellSRR1295048" "CellSRR1295048" "1"
"CellSRR1295050" "CellSRR1295050" "1"
"CellSRR1295052" "CellSRR1295052" "3"
"CellSRR1295055" "CellSRR1295055" "2"
"CellSRR1295056" "CellSRR1295056" "2"
"CellSRR1295059" "CellSRR1295059" "2"
"CellSRR1295061" "CellSRR1295061" "1"
"CellSRR1295062" "CellSRR1295062" "Normal"
"CellSRR1295063" "CellSRR1295063" "1"
"CellSRR1295064" "CellSRR1295064" "3"
"CellSRR1295065" "CellSRR1295065" "3"
"CellSRR1295066" "CellSRR1295066" "1"
"CellSRR1295067" "CellSRR1295067" "3"
