"Cell01" "Cell02" "Cell03" "Cell04" "Cell05" "Cell06" "Cell07" "Cell08" "Cell09" "Cell10" "Cell11" "Cell12" "Cell13" "Cell14" "Cell15" "Cell16" "Cell17" "Cell18" "Cell19" "Cell20" "Cell21" "Cell22" "Cell23" "Cell24" "Cell25" "Normal"
"A1BG" 69.7202 9.05217 20.9341 4.23723 25.2326 0 40.7852 6.90563 29.4778 30.218 14.1001 60.2457 3.25743 5.17502 0 52.3188 45.0217 15.7723 33.5216 0 0 0.141852 10.5402 49.2106 0 0
"A1BG-AS1" 0 0 0.202063 0 0 0 0.318474 0 4.87089 0.882585 0 0.579002 0 0 0 0.447351 0 0 0 0 0 0 0 0 0 3.65514
"A1CF" 13.7578 9.31914 26.4443 3.46284 13.8471 0 0 22.7107 2.26154 11.3112 12.0462 19.2584 0.0706047 21.2125 0.123387 4.8174 12.6121 5.03397 8.55112 0.0281494 0 17.7781 7.27248 0.180165 0 0.0286117
"A2M" 2.23901 3.18113 0 34.3381 0 0 0 0 0 0 33.9883 12.8386 0 71.3949 0 17.0179 0 16.9603 6.60706 0 0.0740824 57.0833 23.9032 0 0 0
"A4GALT" 0 0 0 0 0 0 0 0 0 0 0 0 30.0239 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAAS" 0 14.3615 27.6505 6.43646 3.10048 0 0 0 0 8.88471 0 16.1141 0 17.246 16.8492 14.2447 3.89893 3.55189 1.58133 0 0 0.144419 21.5206 0 0 0
"AACS" 0 0.442882 0.499206 0.623783 1.27842 0 0 0 14.173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.6073 0 0
"AADAC" 478.169 382.683 575.119 714.421 334.626 0.16381 0.218284 162.602 326.002 371.686 440.946 320.463 71.1564 348.617 1.4299 337.782 259.028 291.2 262.889 0 0 202.317 200.096 226.898 0 0.186281
"AADACL2-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38.5943 0
"AADACP1" 0 0 0 0 9.31622 0 0 0 0 0 0 8.21786 0 0 0 0 0 22.5103 0 0 0 0 0 0 0 0
